"subject";"KatCode";"Cond";"Nr";"Item";"Semantische.Kategorie";"uebergeordnete.Kategorie";"OberkatCode";"Dateiname";"DG";"g_ng";"Session";"ordinaAll";"g_ng_count";"RT";"errorcode";"filler_used";"g_ng_count_cent";"pos_in_cat";"g_ng_count_1_5";"alt_g_ng";"alt_g_ng_cent";"DG_cent";"valid";"ItemID"
"1";"28";"JN";2;"LKW";"Strasse";"Fortbewegungsmittel";5;"lkw";"1";"g1";1;101;61;600;0;"";-2;1;1;0;-2,50205026455026;-1,5;307;"2802"
"1";"36";"SN";5;"Nase";"Koerperteile";"MiscI";7;"nase";"1";"g1";1;101;61;708;0;"";-2;1;1;0;-2,50205026455026;-1,5;307;"3605"
"1";"28";"JN";9;"Motorrad";"Strasse";"Fortbewegungsmittel";5;"motorrad";"1";"g1";1;102;62;613;0;"";-1;2;2;0;-2,50205026455026;-1,5;307;"2809"
"1";"28";"JN";5;"Taxi";"Strasse";"Fortbewegungsmittel";5;"taxi";"1";"g1";1;103;63;863;0;"";0;3;3;0;-2,50205026455026;-1,5;307;"2805"
"1";"36";"SN";10;"Bein";"Koerperteile";"MiscI";7;"bein";"1";"g1";1;105;62;728;0;"";-1;5;2;3;0,497949735449736;-1,5;307;"3610"
"1";"36";"SN";6;"Mund";"Koerperteile";"MiscI";7;"mund";"1";"g1";1;106;63;576;0;"";0;6;3;3;0,497949735449736;-1,5;307;"3606"
"1";"28";"JN";4;"Jeep";"Strasse";"Fortbewegungsmittel";5;"jeep";"1";"g1";1;107;64;950;0;"";1;7;4;3;0,497949735449736;-1,5;307;"2804"
"1";"36";"SN";4;"Ohr";"Koerperteile";"MiscI";7;"ohr";"1";"g1";1;109;64;539;0;"";1;9;4;5;2,49794973544974;-1,5;307;"3604"
"1";"28";"JN";1;"Auto";"Strasse";"Fortbewegungsmittel";5;"auto";"1";"g1";1;110;65;604;0;"";2;10;5;5;2,49794973544974;-1,5;307;"2801"
"1";"36";"SN";9;"Bauch";"Koerperteile";"MiscI";7;"bauch";"1";"g1";1;110;65;705;0;"";2;10;5;5;2,49794973544974;-1,5;307;"3609"
"1";"43";"SN";7;"Kanne";"Trinkgefaesse";"MiscII";8;"kanne";"1";"g1";1;101;61;816;0;"";-2;1;1;0;-2,50205026455026;-1,5;307;"4307"
"1";"43";"SN";8;"Bierkrug";"Trinkgefaesse";"MiscII";8;"bierkrug";"1";"g1";1;103;62;935;0;"";-1;3;2;1;-1,50205026455026;-1,5;307;"4308"
"1";"44";"JN";6;"Meterstab";"Heimwerker";"Werkzeug";4;"meterstab";"1";"g1";1;104;62;898;0;"";-1;4;2;2;-0,502050264550264;-1,5;307;"4406"
"1";"44";"JN";3;"inbusschluessel";"Heimwerker";"Werkzeug";4;"inbusschluessel";"1";"g1";1;105;63;784;0;"";0;5;3;2;-0,502050264550264;-1,5;307;"4403"
"1";"43";"SN";6;"Weinglas";"Trinkgefaesse";"MiscII";8;"weinglas";"1";"g1";1;107;64;890;0;"";1;7;4;3;0,497949735449736;-1,5;307;"4306"
"1";"43";"SN";3;"Glas";"Trinkgefaesse";"MiscII";8;"glas";"1";"g1";1;110;65;629;0;"";2;10;5;5;2,49794973544974;-1,5;307;"4303"
"1";"44";"JN";8;"Hammer";"Heimwerker";"Werkzeug";4;"hammer";"1";"g1";1;109;64;674;0;"";1;9;4;5;2,49794973544974;-1,5;307;"4408"
"1";"44";"JN";5;"Bohrmaschine";"Heimwerker";"Werkzeug";4;"bohrmaschine";"1";"g1";1;110;65;750;0;"";2;10;5;5;2,49794973544974;-1,5;307;"4405"
"1";"38";"JN";3;"Wolken";"Himmelsereignisse";"MiscI";7;"wolken";"1";"g1";1;101;61;932;0;"";-2;1;1;0;-2,50205026455026;-1,5;307;"3803"
"1";"21";"SN";2;"Kartoffel";"Gemuese";"Lebensmittel";3;"kartoffel";"1";"g1";1;101;61;761;0;"";-2;1;1;0;-2,50205026455026;-1,5;307;"2102"
"1";"21";"SN";6;"Tomate";"Gemuese";"Lebensmittel";3;"tomate";"1";"g1";1;102;62;736;0;"";-1;2;2;0;-2,50205026455026;-1,5;307;"2106"
"1";"38";"JN";5;"Komet";"Himmelsereignisse";"MiscI";7;"komet";"1";"g1";1;102;62;778;0;"";-1;2;2;0;-2,50205026455026;-1,5;307;"3805"
"1";"21";"SN";7;"Karotte";"Gemuese";"Lebensmittel";3;"karotte";"1";"g1";1;104;63;688;0;"";0;4;3;1;-1,50205026455026;-1,5;307;"2107"
"1";"38";"JN";2;"Regenbogen";"Himmelsereignisse";"MiscI";7;"regenbogen";"1";"g1";1;105;63;907;0;"";0;5;3;2;-0,502050264550264;-1,5;307;"3802"
"1";"21";"SN";8;"Erbse";"Gemuese";"Lebensmittel";3;"erbse";"1";"g1";1;107;64;873;0;"";1;7;4;3;0,497949735449736;-1,5;307;"2108"
"1";"38";"JN";10;"Sichelmond";"Himmelsereignisse";"MiscI";7;"sichelmond";"1";"g1";1;107;64;1040;0;"";1;7;4;3;0,497949735449736;-1,5;307;"3810"
"1";"21";"SN";5;"Radieschen";"Gemuese";"Lebensmittel";3;"radieschen";"1";"g1";1;110;65;1037;0;"";2;10;5;5;2,49794973544974;-1,5;307;"2105"
"1";"38";"JN";6;"Windhose";"Himmelsereignisse";"MiscI";7;"windhose";"1";"g1";1;110;65;826;0;"";2;10;5;5;2,49794973544974;-1,5;307;"3806"
"1";"11";"JN";8;"Ente";"Voegel";"Tiere";1;"ente";"1";"g1";1;101;61;715;0;"";-2;1;1;0;-2,50205026455026;-1,5;307;"1108"
"1";"41";"SN";9;"AloeVera";"Pflanzen";"MiscII";8;"aloevera";"1";"g1";1;101;61;926;0;"";-2;1;1;0;-2,50205026455026;-1,5;307;"4109"
"1";"11";"JN";1;"Adler";"Voegel";"Tiere";1;"adler";"1";"g1";1;104;62;767;0;"";-1;4;2;2;-0,502050264550264;-1,5;307;"1101"
"1";"41";"SN";6;"Hanf";"Pflanzen";"MiscII";8;"hanf";"1";"g1";1;105;62;791;0;"";-1;5;2;3;0,497949735449736;-1,5;307;"4106"
"1";"11";"JN";7;"Rabe";"Voegel";"Tiere";1;"rabe";"1";"g1";1;105;63;1002;0;"";0;5;3;2;-0,502050264550264;-1,5;307;"1107"
"1";"11";"JN";9;"Taube";"Voegel";"Tiere";1;"taube";"1";"g1";1;107;64;763;0;"";1;7;4;3;0,497949735449736;-1,5;307;"1109"
"1";"41";"SN";3;"Farn";"Pflanzen";"MiscII";8;"farn";"1";"g1";1;108;63;970;0;"";0;8;3;5;2,49794973544974;-1,5;307;"4103"
"1";"41";"SN";4;"Schilf";"Pflanzen";"MiscII";8;"schilf";"1";"g1";1;109;64;1205;0;"";1;9;4;5;2,49794973544974;-1,5;307;"4104"
"1";"11";"JN";3;"Papagei";"Voegel";"Tiere";1;"papagei";"1";"g1";1;110;65;727;0;"";2;10;5;5;2,49794973544974;-1,5;307;"1103"
"1";"41";"SN";2;"Gras";"Pflanzen";"MiscII";8;"gras";"1";"g1";1;110;65;829;0;"";2;10;5;5;2,49794973544974;-1,5;307;"4102"
"1";"13";"SN";3;"Schmetterling";"Insekten";"Tiere";1;"schmetterling";"2";"g1";1;101;61;724;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"1303"
"1";"23";"JN";4;"Messer";"Werkzeug_Kueche";"Werkzeug";4;"messer";"2";"g1";1;101;61;766;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"2304"
"1";"23";"JN";6;"Gabel";"Werkzeug_Kueche";"Werkzeug";4;"gabel";"2";"g1";1;103;62;959;0;"";-1;3;2;1;-1,50205026455026;-0,5;307;"2306"
"1";"13";"SN";4;"Ameise";"Insekten";"Tiere";1;"ameise";"2";"g1";1;105;62;769;0;"";-1;5;2;3;0,497949735449736;-0,5;307;"1304"
"1";"23";"JN";1;"Schneebesen";"Werkzeug_Kueche";"Werkzeug";4;"schneebesen";"2";"g1";1;105;63;1530;0;"";0;5;3;2;-0,502050264550264;-0,5;307;"2301"
"1";"13";"SN";10;"Muecke";"Insekten";"Tiere";1;"muecke";"2";"g1";1;107;63;640;0;"";0;7;3;4;1,49794973544974;-0,5;307;"1310"
"1";"13";"SN";2;"Biene";"Insekten";"Tiere";1;"biene";"2";"g1";1;109;64;714;0;"";1;9;4;5;2,49794973544974;-0,5;307;"1302"
"1";"23";"JN";3;"Nudelholz";"Werkzeug_Kueche";"Werkzeug";4;"nudelholz";"2";"g1";1;108;64;621;0;"";1;8;4;4;1,49794973544974;-0,5;307;"2303"
"1";"13";"SN";6;"Skorpion";"Insekten";"Tiere";1;"skorpion";"2";"g1";1;110;65;864;0;"";2;10;5;5;2,49794973544974;-0,5;307;"1306"
"1";"23";"JN";5;"Dosenoeffner";"Werkzeug_Kueche";"Werkzeug";4;"dosenoeffner";"2";"g1";1;110;65;1114;0;"";2;10;5;5;2,49794973544974;-0,5;307;"2305"
"1";"22";"JN";9;"Lollipop";"Suessigkeiten";"Lebensmittel";3;"lollipop";"2";"g1";1;101;61;983;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"2209"
"1";"31";"SN";1;"Couch";"Sitzen";"Moebel";6;"couch";"2";"g1";1;101;61;758;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"3101"
